City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Baruun-Urt,MN,46.6806,113.2792,26.56,37,30,14.45,scattered clouds
300,Auki,SB,-8.7676,160.7034,80.28,87,92,4.0,overcast clouds
301,Alta,NO,69.9689,23.2717,4.26,56,22,12.66,few clouds
302,Fiche,ET,9.8,38.7333,44.13,39,7,2.46,clear sky
303,Mwingi,KE,-0.9344,38.0601,64.45,88,14,2.37,few clouds
304,Portland,US,45.5234,-122.6762,50.58,96,90,1.01,overcast clouds
305,Ponta Delgada,PT,37.7333,-25.6667,65.12,72,75,13.8,broken clouds
306,Leh,IN,34.1667,77.5833,10.98,72,36,4.36,scattered clouds
307,Amqui,CA,48.4638,-67.4313,30.69,98,100,13.56,snow
308,Lagoa,PT,39.05,-27.9833,63.75,88,81,17.36,broken clouds
309,Felipe Carrillo Puerto,MX,19.5833,-88.05,73.0,98,4,2.8,clear sky
310,Hereford,GB,52.0568,-2.7148,40.33,86,62,5.64,broken clouds
311,Miri,MY,4.4148,114.0089,84.34,74,40,4.61,scattered clouds
312,Tomatlan,MX,19.9333,-105.25,70.92,84,99,3.74,overcast clouds
313,Mosetse,BW,-20.75,26.65,72.63,59,99,10.54,overcast clouds
314,Norrtalje,SE,59.758,18.705,16.02,96,29,3.09,scattered clouds
315,Svetlyy,RU,54.675,20.1347,15.85,92,82,6.62,broken clouds
316,Bugembe,UG,0.4797,33.2344,64.42,79,70,1.41,broken clouds
317,Goianira,BR,-16.4961,-49.4264,73.22,93,55,2.42,broken clouds
318,Honiara,SB,-9.4333,159.95,82.96,83,99,3.58,moderate rain
319,Richards Bay,ZA,-28.783,32.0377,73.0,82,88,11.92,overcast clouds
320,Saint-Augustin,CA,51.226,-58.6502,30.13,96,100,23.6,snow
321,Rocha,UY,-34.4833,-54.3333,58.33,97,11,4.54,few clouds
322,Muros,ES,42.7762,-9.0603,60.1,95,100,15.95,overcast clouds
323,Faanui,PF,-16.4833,-151.75,80.78,75,94,11.86,light rain
324,Oranjemund,NA,-28.55,16.4333,59.22,90,37,13.04,scattered clouds
325,Tarko-Sale,RU,64.9225,77.785,-9.4,97,92,13.62,overcast clouds
326,Imuris,MX,30.7833,-110.8667,56.62,31,0,4.76,clear sky
327,Rorvik,NO,64.8621,11.2373,19.92,75,0,24.18,clear sky
328,Preobrazheniye,RU,42.9019,133.9064,38.73,45,2,1.61,clear sky
329,Kailua,US,21.4022,-157.7394,75.18,47,100,13.4,moderate rain
330,Ishigaki,JP,24.3448,124.1572,75.33,64,40,18.41,scattered clouds
331,Hrubieszow,PL,50.805,23.8925,27.25,97,99,6.33,overcast clouds
332,Maues,BR,-3.3836,-57.7186,74.46,96,95,0.81,overcast clouds
333,Shingu,JP,33.7333,135.9833,52.79,90,100,5.06,overcast clouds
334,Faridkot,IN,30.6667,74.75,64.78,38,0,4.14,clear sky
335,Puri,IN,19.8,85.85,73.92,75,0,9.28,clear sky
336,Storforshei,NO,66.4043,14.5233,-3.8,93,6,8.01,clear sky
337,Praia Da Vitoria,PT,38.7333,-27.0667,62.76,82,40,10.02,scattered clouds
338,Qandala,SO,11.472,49.8728,74.37,61,4,4.54,clear sky
339,Grand-Lahou,CI,5.1367,-5.0242,78.93,84,10,7.18,clear sky
340,Huarmey,PE,-10.0681,-78.1522,67.87,83,100,7.14,overcast clouds
341,Jalu,LY,29.0331,21.5482,52.02,36,0,16.96,clear sky
342,Aromashevo,RU,56.8602,68.6375,0.79,94,100,10.11,overcast clouds
343,Turuvekere,IN,13.1642,76.6667,74.64,64,65,6.64,broken clouds
344,Birjand,IR,32.8663,59.2211,28.87,54,0,6.91,clear sky
